,date,toll,pvpc_eur_MWh,prod_cost_eur_MWh
1936,2016-01-06,2.0.DHS,58.84474220541667,26.942993333333334
1937,2016-01-06,2.0A,78.57236440375,29.06174333333333
1938,2016-01-07,2.0.DHA,71.04505798416666,37.840493333333335
1939,2016-01-07,2.0.DHS,71.51793744875,37.894243333333335
1940,2016-01-07,2.0A,91.12967803708334,40.012993333333334
1941,2016-01-08,2.0.DHA,75.85344904666665,42.26757666666666
1942,2016-01-08,2.0.DHS,76.25070682041665,42.321326666666664
1943,2016-01-08,2.0A,95.97575416208333,44.44007666666667
1944,2016-01-09,2.0.DHA,71.4972920475,37.318826666666666
1945,2016-01-09,2.0.DHS,71.84633974375001,37.37257666666667
1946,2016-01-09,2.0A,91.8501279025,39.49132666666666
1947,2016-01-10,2.0.DHA,53.707032039166656,22.000493333333328
1948,2016-01-10,2.0.DHS,53.94045015541668,22.054243333333336
1949,2016-01-10,2.0A,73.64647441625,24.172993333333327
1950,2016-01-11,2.0.DHA,67.14276356333332,34.23757666666666
1951,2016-01-11,2.0.DHS,67.60951650333332,34.29132666666666
1952,2016-01-11,2.0A,87.16158193749999,36.41007666666667
1953,2016-01-12,2.0.DHA,79.01773930625,44.032160000000005
1954,2016-01-12,2.0.DHS,79.63272830583333,44.08590999999999
1955,2016-01-12,2.0A,99.23688651291668,46.20465999999999
1956,2016-01-13,2.0.DHA,83.26949088291667,48.28841
1957,2016-01-13,2.0.DHS,83.82488678874999,48.34216
1958,2016-01-13,2.0A,103.69986607041665,50.46090999999999
1959,2016-01-14,2.0.DHA,79.55265840083332,45.143826666666676
1960,2016-01-14,2.0.DHS,80.12107578208334,45.19757666666667
1961,2016-01-14,2.0A,99.75020637041666,47.31632666666666
1962,2016-01-15,2.0.DHA,81.13060738,46.947993333333336
1963,2016-01-15,2.0.DHS,81.57241723708333,47.00174333333334
1964,2016-01-15,2.0A,101.40323374541667,49.120493333333336
1965,2016-01-16,2.0.DHA,78.2693720475,42.79091
1966,2016-01-16,2.0.DHS,78.77791891041666,42.84466
1967,2016-01-16,2.0A,98.61788373583335,44.96341
1968,2016-01-17,2.0.DHA,82.46596995583334,46.06091
1969,2016-01-17,2.0.DHS,82.90255473875,46.11465999999999
1970,2016-01-17,2.0A,103.01336983291668,48.23341
1971,2016-01-18,2.0.DHA,85.66116314666665,50.05590999999999
1972,2016-01-18,2.0.DHS,86.23078566999999,50.10966
1973,2016-01-18,2.0A,106.21119943750001,52.22841
1974,2016-01-19,2.0.DHA,96.39844930625001,59.07549333333333
1975,2016-01-19,2.0.DHS,97.06786747250003,59.12924333333333
1976,2016-01-19,2.0A,117.01239609624999,61.24799333333335
1977,2016-01-20,2.0.DHA,96.63796004958333,59.69965999999999
1978,2016-01-20,2.0.DHS,97.25720387208334,59.753409999999995
1979,2016-01-20,2.0A,117.2344727370833,61.87216000000001
1980,2016-01-21,2.0.DHA,94.64317715083335,58.176326666666675
1981,2016-01-21,2.0.DHS,95.19736244874998,58.23007666666667
1982,2016-01-21,2.0A,115.22030512041664,60.34882666666667
1983,2016-01-22,2.0.DHA,89.63835738,54.26966000000001
1984,2016-01-22,2.0.DHS,90.08205182041667,54.323409999999996
1985,2016-01-22,2.0A,110.05762749541667,56.442159999999994
1986,2016-01-23,2.0.DHA,86.16001246416668,49.50466000000001
1987,2016-01-23,2.0.DHS,86.61667557708334,49.55841
1988,2016-01-23,2.0A,106.77636581916668,51.677159999999986
1989,2016-01-24,2.0.DHA,79.27327870583333,43.49466
1990,2016-01-24,2.0.DHS,79.62519973875,43.54841000000001
1991,2016-01-24,2.0A,99.87241066625,45.66716
1992,2016-01-25,2.0.DHA,90.30954273000002,53.964243333333336
1993,2016-01-25,2.0.DHS,90.91844942000002,54.01799333333332
1994,2016-01-25,2.0A,110.84113860416669,56.13674333333332
1995,2016-01-26,2.0.DHA,92.91690722291666,56.07757666666668
1996,2016-01-26,2.0.DHS,93.50383622250001,56.131326666666666
1997,2016-01-26,2.0A,113.59349609624998,58.250076666666665
1998,2016-01-27,2.0.DHA,86.45436921625002,50.934243333333335
1999,2016-01-27,2.0.DHS,86.92185178875,50.98799333333333
2000,2016-01-27,2.0A,107.01419190375002,53.106743333333334
2001,2016-01-28,2.0.DHA,90.57025423416665,54.60174333333333
2002,2016-01-28,2.0.DHS,91.07182744875,54.65549333333332
2003,2016-01-28,2.0A,111.12602970375,56.77424333333334
2004,2016-01-29,2.0.DHA,88.32166738,53.11091
2005,2016-01-29,2.0.DHS,88.75550765375,53.16466
2006,2016-01-29,2.0A,108.73275374541669,55.28341
2007,2016-01-30,2.0.DHA,81.88120996416669,45.997576666666674
2008,2016-01-30,2.0.DHS,82.25819557708334,46.051326666666675
2009,2016-01-30,2.0A,102.51414498583334,48.17007666666667
2010,2016-01-31,2.0.DHA,77.04965995583332,41.49799333333333
2011,2016-01-31,2.0.DHS,77.51728973875002,41.55174333333333
2012,2016-01-31,2.0A,97.46466316624999,43.67049333333333
2013,2016-02-01,2.0.DHA,87.3340109375,51.48007666666666
2014,2016-02-01,2.0.DHS,87.79202965458335,51.53382666666666
2015,2016-02-01,2.0A,107.91073270375,53.65257666666667
2016,2016-02-02,2.0.DHA,85.67664030833333,49.937160000000006
2017,2016-02-02,2.0.DHS,86.05794615666666,49.99090999999999
2018,2016-02-02,2.0A,106.22407708125,52.10966000000001
2019,2016-02-03,2.0.DHA,76.06635709291668,41.77216000000001
2020,2016-02-03,2.0.DHS,76.41533764,41.82591
